date,price
2005/9/15,47.53
2005/9/27,46.33
2005/9/28,46.29
2005/9/29,46.75
2005/9/30,47.45
2005/10/3,47.69
2005/10/4,47.86
2005/10/5,47.71
2005/10/6,47.47
2005/10/7,47.4
2005/10/11,47.4
2005/10/12,46.65
2005/10/13,46.4
2005/10/14,46.4
2005/10/17,45.42
2005/10/18,45.5
2005/10/19,44.24
2005/10/20,44.79
2005/10/21,44.6
2005/10/24,44.57
2005/10/25,44.84
2005/10/26,44.71
2005/10/27,44.6
2005/10/28,44.5
2005/10/31,45.44
2005/11/1,45.52
2005/11/2,46.1
2005/11/3,46.22
2005/11/4,46.35
2005/11/7,46.32
2005/11/8,46.33
2005/11/9,47.13
2005/11/10,47.3
2005/11/11,47.97
2005/11/14,48.04
2005/11/15,47.62
2005/11/16,47.71
2005/11/17,47.49
2005/11/18,48.15
2005/11/21,48.19
2005/11/22,47.85
2005/11/23,48.28
2005/11/24,48.27
2005/11/25,48.27
2005/11/28,49.05
2005/11/29,48.52
2005/11/30,48.79
2005/12/1,48.7
2005/12/2,49.05
2005/12/5,50.35
2005/12/6,50.3
2005/12/7,49.9
2005/12/8,49.1
2005/12/9,49.1
2005/12/12,49.1
2005/12/13,49.12
2005/12/14,48.81
2005/12/15,48.9
2005/12/16,49.78
2005/12/19,50.35
2005/12/20,50.3
2005/12/21,50.65
2005/12/22,50.25
2005/12/23,51
2005/12/26,51.25
2005/12/27,51.4
2005/12/28,51
2005/12/29,51.35
2005/12/30,51.25
2005/12/31,51.25
2006/1/2,50.55
2006/1/3,51.45
2006/1/4,51.7
2006/1/5,52.45
2006/1/6,52.3
2006/1/9,52.8
2006/1/10,52.3
2006/1/11,52.55
2006/1/12,52.7
2006/1/13,52.45
2006/1/16,52.85
2006/1/17,52.85
2006/1/18,50.85
2006/1/19,51.4
2006/1/20,51.3
2006/1/23,50.55
2006/1/24,51
2006/1/25,51.35
2006/1/26,51.35
2006/1/27,51.35
2006/1/31,51.35
2006/2/3,51.6
2006/2/6,52.35
2006/2/7,53
2006/2/8,52.3
2006/2/9,52.2
2006/2/10,52.1
2006/2/13,52
2006/2/14,52.25
2006/2/15,52.05
2006/2/16,53.05
2006/2/17,52.95
2006/2/20,52.9
2006/2/21,52.8
2006/2/22,52.1
2006/2/23,51.7
2006/2/24,52.05
2006/2/27,52.4
2006/3/1,52.85
2006/3/2,52.85
2006/3/3,52.05
2006/3/6,52.45
2006/3/7,51.8
2006/3/8,51.4
2006/3/9,51.65
2006/3/10,51.6
2006/3/13,51.8
2006/3/14,51.3
2006/3/15,52.15
2006/3/16,51.9
2006/3/17,52
2006/3/20,51.95
2006/3/21,51.55
2006/3/22,50.75
2006/3/23,50.5
2006/3/24,50.9
2006/3/27,51.05
2006/3/28,51.5
2006/3/29,51.7
2006/3/30,52.3
2006/3/31,52.8
2006/4/1,52.8
2006/4/3,53.1
2006/4/4,53.1
2006/4/6,53.7
2006/4/7,53.9
2006/4/10,54.1
2006/4/11,53.55
2006/4/12,53.95
2006/4/13,54.4
2006/4/14,55.05
2006/4/17,55.2
2006/4/18,55.3
2006/4/19,55.7
2006/4/20,56.1
2006/4/21,56.25
2006/4/24,56.35
2006/4/25,55.85
2006/4/26,56.85
2006/4/27,56.6
2006/4/28,56.8
2006/4/30,56.8
2006/5/2,56.8
2006/5/3,57.2
2006/5/4,58
2006/5/5,58.4
2006/5/8,59.2
2006/5/9,58.5
2006/5/10,57.4
2006/5/11,57.75
2006/5/12,57.5
2006/5/15,56
2006/5/16,55.2
2006/5/17,55.6
2006/5/18,54.65
2006/5/19,54.75
2006/5/22,53.9
2006/5/23,53
2006/5/24,53.35
2006/5/25,53.35
2006/5/26,53.3
2006/5/29,53.6
2006/5/30,53.4
2006/5/31,53.4
2006/6/1,53.4
2006/6/2,54.3
2006/6/5,52.45
2006/6/6,52.9
2006/6/7,51.85
2006/6/8,49.99
2006/6/9,50.8
2006/6/12,50.7
2006/6/13,49.6
2006/6/14,51.1
2006/6/15,50.8
2006/6/16,51.9
2006/6/19,51.85
2006/6/20,50.45
2006/6/21,50.2
2006/6/22,51.65
2006/6/23,51.15
2006/6/26,51.8
2006/6/27,51.85
2006/6/28,51.55
2006/6/29,52.2
2006/6/30,53.1
2006/7/3,53.05
2006/7/4,53.35
2006/7/5,52.7
2006/7/6,52.6
2006/7/7,52.3
2006/7/10,53.1
2006/7/11,52.7
2006/7/12,52.5
2006/7/13,52.1
2006/7/14,50.8
2006/7/17,49.63
2006/7/18,49.97
2006/7/19,49.99
2006/7/20,51.35
2006/7/21,51.2
2006/7/24,50.6
2006/7/25,50.85
2006/7/26,50.9
2006/7/27,51.6
2006/7/28,51.55
2006/7/31,51.4
2006/8/1,51.45
2006/8/2,51.8
2006/8/3,51.95
2006/8/4,51.45
2006/8/7,51.4
2006/8/8,52.25
2006/8/9,53
2006/8/10,53.1
2006/8/11,53
2006/8/14,53.45
2006/8/15,53.5
2006/8/16,54.3
2006/8/17,54.75
2006/8/18,54.6
2006/8/21,52.9
2006/8/22,53.4
2006/8/23,53.5
2006/8/24,53.15
2006/8/25,53.2
2006/8/28,52.55
2006/8/29,52.9
2006/8/30,53.7
2006/8/31,54.25
2006/9/1,54.35
2006/9/4,55.05
2006/9/5,55.2
2006/9/6,54.75
2006/9/7,54.55
2006/9/8,54.7
2006/9/11,54.75
2006/9/12,54.15
2006/9/13,54.9
2006/9/14,54.6
2006/9/15,55.25
2006/9/18,56.9
2006/9/19,56.95
2006/9/20,56.6
2006/9/21,56.75
2006/9/22,56.45
2006/9/25,56.6
2006/9/26,56.6
2006/9/27,57
2006/9/28,56.5
2006/9/29,56.35
2006/9/30,56.35
2006/10/2,56.75
2006/10/3,56.9
2006/10/4,56.25
2006/10/5,57.25
2006/10/11,57.3
2006/10/12,57
2006/10/13,57.65
2006/10/14,57.5
2006/10/16,58.2
2006/10/17,57.85
2006/10/18,57
2006/10/19,56.7
2006/10/20,57
2006/10/23,57
2006/10/24,57.5
2006/10/25,57.4
2006/10/26,53.6
2006/10/27,53.9
2006/10/30,53.15
2006/10/31,53.4
2006/11/1,53.25
2006/11/2,53.5
2006/11/3,54.45
2006/11/6,53.9
2006/11/7,54.3
2006/11/8,54.15
2006/11/9,53.95
2006/11/10,54
2006/11/13,53.6
2006/11/14,54.05
2006/11/15,54.25
2006/11/16,54.4
2006/11/17,54.4
2006/11/20,53.9
2006/11/21,54.75
2006/11/22,55.1
2006/11/23,55.25
2006/11/24,55.55
2006/11/27,55.85
2006/11/28,55.65
2006/11/29,55.75
2006/11/30,56.3
2006/12/1,56.6
2006/12/4,56.95
2006/12/5,56.8
2006/12/6,57.5
2006/12/7,57.3
2006/12/8,56.55
2006/12/11,56.5
2006/12/12,55.3
2006/12/13,55.25
2006/12/14,55.6
2006/12/15,55.95
2006/12/18,56.7
2006/12/19,56.45
2006/12/20,56.5
2006/12/21,56.5
2006/12/22,56.5
2006/12/25,56.4
2006/12/26,56.75
2006/12/27,57.05
2006/12/28,57.1
2006/12/29,57.75
2006/12/31,57.75
2007/1/2,58.45
2007/1/3,58.7
2007/1/4,58.65
2007/1/5,57.9
2007/1/8,57.05
2007/1/9,57.3
2007/1/10,56.5
2007/1/11,56.25
2007/1/12,57.5
2007/1/15,57.9
2007/1/16,57.55
2007/1/17,58
2007/1/18,58.4
2007/1/19,58
2007/1/22,57.85
2007/1/23,57.75
2007/1/24,58.6
2007/1/25,58.75
2007/1/26,57.7
2007/1/29,57.15
2007/1/30,57.15
2007/1/31,56.7
2007/2/1,56.75
2007/2/2,57.4
2007/2/5,57.3
2007/2/6,57.8
2007/2/7,57.85
2007/2/8,57.8
2007/2/9,57.75
2007/2/12,57.2
2007/2/13,56.7
2007/2/14,57.15
2007/2/15,57.15
2007/2/16,57.15
2007/2/20,57.15
2007/2/21,57.15
2007/2/22,57.15
2007/2/26,57.95
2007/2/27,57.75
2007/2/28,57.75
2007/3/1,56.05
2007/3/2,55.7
2007/3/3,55.35
2007/3/5,53.45
2007/3/6,54
2007/3/7,54.3
2007/3/8,54.95
2007/3/9,54.75
2007/3/12,55.3
2007/3/13,55.8
2007/3/14,54.95
2007/3/15,55.75
2007/3/16,55.85
2007/3/19,56
2007/3/20,56.15
2007/3/21,56.25
2007/3/22,56.9
2007/3/23,56.7
2007/3/26,57.1
2007/3/27,56.9
2007/3/28,56.25
2007/3/29,56.55
2007/3/30,56.45
2007/3/31,56.45
2007/4/2,56.7
2007/4/3,56.85
2007/4/4,57.75
2007/4/9,58.15
2007/4/10,58.1
2007/4/11,58.5
2007/4/12,58.25
2007/4/13,57.6
2007/4/14,57.75
2007/4/16,58
2007/4/17,57.45
2007/4/18,57.65
2007/4/19,56.75
2007/4/20,56.95
2007/4/23,57.85
2007/4/24,58.1
2007/4/25,57.6
2007/4/26,57.7
2007/4/27,57.5
2007/4/30,56.9
2007/5/2,57.55
2007/5/3,58.2
2007/5/4,59.2
2007/5/7,59.55
2007/5/8,59.3
2007/5/9,58.95
2007/5/10,59.25
2007/5/11,58.6
2007/5/14,58.75
2007/5/15,58.15
2007/5/16,58.2
2007/5/17,58.6
2007/5/18,58.5
2007/5/21,59.6
2007/5/22,59.8
2007/5/23,60.05
2007/5/24,60.1
2007/5/25,59.45
2007/5/28,59.5
2007/5/29,59.7
2007/5/30,59.25
2007/5/31,59.75
2007/6/1,60
2007/6/4,60.2
2007/6/5,60.2
2007/6/6,60.75
2007/6/7,60.9
2007/6/8,60.7
2007/6/11,60.85
2007/6/12,61.2
2007/6/13,61.2
2007/6/14,62
2007/6/15,63.2
2007/6/20,65.2
2007/6/21,65.8
2007/6/22,65.4
2007/6/23,64.95
2007/6/25,66.15
2007/6/26,65.35
2007/6/27,65
2007/6/28,65.2
2007/6/29,65
2007/6/30,65
2007/7/2,65.6
2007/7/3,66.3
2007/7/4,66.8
2007/7/5,67.15
2007/7/6,67
2007/7/7,67
2007/7/9,68.6
2007/7/10,68.65
2007/7/11,67.85
2007/7/12,68.2
2007/7/13,68.8
2007/7/16,68.5
2007/7/17,68.6
2007/7/18,68.2
2007/7/19,68.15
2007/7/20,69.2
2007/7/23,68.85
2007/7/24,69.75
2007/7/25,69.75
2007/7/26,68.4
2007/7/27,65.55
2007/7/30,64.7
2007/7/31,66.3
2007/8/1,63.3
2007/8/2,64.4
2007/8/3,65.3
2007/8/6,64.65
2007/8/7,63.9
2007/8/8,65.2
2007/8/9,65.75
2007/8/10,64
2007/8/13,63.85
2007/8/14,64.5
2007/8/15,62.15
2007/8/16,59.6
2007/8/17,59.65
2007/8/20,62.35
2007/8/21,61.75
2007/8/22,62.45
2007/8/23,64
2007/8/24,63.5
2007/8/27,63.8
2007/8/28,63.85
2007/8/29,63
2007/8/30,63.8
2007/8/31,65.6
2007/9/1,65.6
2007/9/3,65.8
2007/9/4,65.7
2007/9/5,65
2007/9/6,65.9
2007/9/7,65.9
2007/9/10,65.4
2007/9/11,65.85
2007/9/12,65.65
2007/9/13,65.1
2007/9/14,66.25
2007/9/15,66.25
2007/9/17,65.25
2007/9/19,65.6
2007/9/20,66
2007/9/21,66.9
2007/9/25,66.9
2007/9/26,67.95
2007/9/27,68.9
2007/9/28,69.05
2007/9/29,69.35
2007/9/30,69.35
2007/10/1,69.35
2007/10/2,70.6
2007/10/3,71.7
2007/10/4,71.2
2007/10/5,71.2
2007/10/8,71.85
2007/10/9,71.65
2007/10/11,71.9
2007/10/12,69.9
2007/10/15,70.55
2007/10/16,70.9
2007/10/17,70.4
2007/10/18,71.4
2007/10/19,71.05
2007/10/22,69.45
2007/10/23,70.6
2007/10/24,67.7
2007/10/25,68.4
2007/10/26,69.25
2007/10/27,69.25
2007/10/29,70.65
2007/10/30,70.45
2007/10/31,70.2
2007/11/1,69.45
2007/11/2,67
2007/11/5,67.1
2007/11/6,67.5
2007/11/7,67.05
2007/11/8,64.9
2007/11/9,65.35
2007/11/12,63.6
2007/11/13,63.5
2007/11/14,64.7
2007/11/15,64.25
2007/11/16,63.05
2007/11/19,62.7
2007/11/20,62.5
2007/11/21,61.15
2007/11/22,61.2
2007/11/23,60.7
2007/11/25,60.7
2007/11/26,61.95
2007/11/27,61
2007/11/28,60.3
2007/11/29,61.35
2007/11/30,61.8
2007/12/3,61.95
2007/12/4,62.55
2007/12/5,62.75
2007/12/6,62.8
2007/12/7,63.4
2007/12/10,62
2007/12/11,62.35
2007/12/12,61.25
2007/12/13,58.7
2007/12/14,58.4
2007/12/15,58.4
2007/12/17,56.7
2007/12/18,56.9
2007/12/19,58.5
2007/12/20,57.5
2007/12/21,58.75
2007/12/24,59.15
2007/12/25,59.6
2007/12/26,59.65
2007/12/27,60.9
2007/12/28,61
2007/12/31,61.45
2008/1/2,60.1
2008/1/3,59.1
2008/1/4,59.1
2008/1/7,56.4
2008/1/8,56.95
2008/1/9,58
2008/1/10,57.9
2008/1/11,57.65
2008/1/14,58.8
2008/1/15,61.05
2008/1/16,58.4
2008/1/17,58.15
2008/1/18,58.5
2008/1/21,57.7
2008/1/22,53.7
2008/1/23,53.6
2008/1/24,55
2008/1/25,56.4
2008/1/28,54.6
2008/1/29,55.1
2008/1/30,54.95
2008/1/31,54.95
2008/2/1,56.4
2008/2/12,54.95
2008/2/13,54.8
2008/2/14,57.8
2008/2/15,57.3
2008/2/18,57.2
2008/2/19,58
2008/2/20,56.9
2008/2/21,58.55
2008/2/22,58.8
2008/2/25,60
2008/2/26,60.2
2008/2/27,60.7
2008/2/29,60.85
2008/3/3,59.15
2008/3/4,60.7
2008/3/5,60.9
2008/3/6,62.3
2008/3/7,61.4
2008/3/10,59.6
2008/3/11,60.1
2008/3/12,60.65
2008/3/13,59.1
2008/3/14,58.45
2008/3/17,57.35
2008/3/18,57.9
2008/3/19,58.5
2008/3/20,59.95
2008/3/21,61.55
2008/3/24,64.15
2008/3/25,63.05
2008/3/26,62.4
2008/3/27,61.2
2008/3/28,62
2008/3/31,60.45
2008/4/1,60.05
2008/4/2,61.75
2008/4/3,61.2
2008/4/7,62.2
2008/4/8,61.6
2008/4/9,61.6
2008/4/10,62.6
2008/4/11,63.5
2008/4/14,63.2
2008/4/15,63.15
2008/4/16,64.2
2008/4/17,64.65
2008/4/18,64.4
2008/4/21,64.6
2008/4/22,64.4
2008/4/23,63.75
2008/4/24,63.45
2008/4/25,63.5
2008/4/28,64.15
2008/4/29,63.5
2008/4/30,63.9
2008/5/2,64.2
2008/5/4,64.2
2008/5/5,62.95
2008/5/6,63.05
2008/5/7,63.6
2008/5/8,62.7
2008/5/9,62.25
2008/5/12,62.7
2008/5/13,63.9
2008/5/14,64.15
2008/5/15,65.05
2008/5/16,65.4
2008/5/19,65.65
2008/5/20,64
2008/5/21,63.4
2008/5/22,63.45
2008/5/23,62.45
2008/5/26,61.6
2008/5/27,62.2
2008/5/28,61.7
2008/5/29,62.3
2008/5/30,62.2
2008/5/31,62.2
2008/6/2,62.6
2008/6/3,61.6
2008/6/4,61.8
2008/6/5,62.7
2008/6/6,62.7
2008/6/9,61.15
2008/6/10,59.7
2008/6/11,59.9
2008/6/12,58.45
2008/6/13,58.8
2008/6/16,59.1
